X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y
2632162.973,2594364.707,243,T20160012014,2016/06/01 00:00:00+00,06.:3.00,3,1,Collision with vehicle,A,C,23,2,Drivers,F,On RUTHERGLEN-SPRINGHURST ROAD 551m S from Int WITHERS ROAD,305049,N,N,Non Intersection,5161,RUTHERGLEN-SPRINGHURST,ROAD,WITHERS,ROAD,Declared Road,INDIGO,NORTH EASTERN REGION,Country,2632162.973,2594364.707
2489886.228,2425665.953,244,T20160012439,2016/06/05 00:00:00+00,22.:0.00,2,1,Collision with vehicle,A,01,62,3,Passengers,F,At Int of MICKLEHAM ROAD and ALANBRAE TERRACE,35744,I,I,Intersection,5820,MICKLEHAM,ROAD,ALANBRAE,TERRACE,Declared Road,HUME,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2489886.228,2425665.953
2489886.228,2425665.953,245,T20160012439,2016/06/05 00:00:00+00,22.:0.00,2,1,Collision with vehicle,A,B,57,2,Drivers,F,At Int of MICKLEHAM ROAD and ALANBRAE TERRACE,35744,I,I,Intersection,5820,MICKLEHAM,ROAD,ALANBRAE,TERRACE,Declared Road,HUME,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2489886.228,2425665.953
2562338.764,2326926.91,246,T20160012494,2016/06/06 00:00:00+00,19.:4.00,2,3,Struck animal,A,A,28,2,Drivers,F,On INVERLOCH-KONGWAK ROAD 433m N from Int WILLOMBEE VIEW,304336,N,N,Non Intersection,5697,INVERLOCH-KONGWAK,ROAD,WILLOMBEE,VIEW,Declared Road,BASS COAST,EASTERN REGION,Country,2562338.764,2326926.91
2521039.925,2337528.135,247,T20160012886,2016/06/11 00:00:00+00,09.:5.00,1,4,Collision with a fixed object,A,A,42,2,Drivers,M,On COWES-RHYLL ROAD 76m W from Int REDWOOD DRIVE,304602,N,N,Non Intersection,9999,COWES-RHYLL,ROAD,REDWOOD,DRIVE,Non Declared Road,BASS COAST,EASTERN REGION,Country,2521039.925,2337528.135
2700435.933,2403420.576,248,T20160012895,2016/06/10 00:00:00+00,20.:3.00,1,4,Collision with a fixed object,A,01,66,3,Passengers,M,On FERNBANK-STOCKDALE ROAD 753m S from Int STOCKDALE-FERNBANK ROAD,304600,N,N,Non Intersection,9999,FERNBANK-STOCKDALE,ROAD,STOCKDALE-FERNBANK,ROAD,Non Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2700435.933,2403420.576
2700435.933,2403420.576,249,T20160012895,2016/06/10 00:00:00+00,20.:3.00,1,4,Collision with a fixed object,A,02,45,3,Passengers,M,On FERNBANK-STOCKDALE ROAD 753m S from Int STOCKDALE-FERNBANK ROAD,304600,N,N,Non Intersection,9999,FERNBANK-STOCKDALE,ROAD,STOCKDALE-FERNBANK,ROAD,Non Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2700435.933,2403420.576
2545350.741,2439640.148,250,T20160012962,2016/06/12 00:00:00+00,18.:3.00,1,4,Collision with a fixed object,A,A,46,2,Drivers,M,On SYLVIA CREEK ROAD 1304m SW from Int COLES CREEK ROAD,304601,N,N,Non Intersection,9999,SYLVIA CREEK,ROAD,COLES CREEK,ROAD,Non Declared Road,MURRINDINDI,NORTH EASTERN REGION,Country,2545350.741,2439640.148
2698920.069,2558013.87,251,T20160013003,2016/06/13 00:00:00+00,11.:0.00,2,1,Collision with vehicle,A,A,50,4,Motorcyclists,M,On OMEO HIGHWAY 1424m SE from Int KOHNES ROAD,304624,N,N,Non Intersection,2560,OMEO,HIGHWAY,KOHNES,ROAD,Declared Road,TOWONG,NORTH EASTERN REGION,Country,2698920.069,2558013.87
2511084.766,2410381.621,252,T20160013186,2016/06/15 00:00:00+00,17.:3.00,1,2,Struck Pedestrian,A,01,51,1,Pedestrians,M,On STATION STREET 89m S from Int WIMMERA STREET,304720,N,N,Non Intersection,5320,STATION,STREET,WIMMERA,STREET,Declared Road,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2511084.766,2410381.621
